display_name,level,memo
日本館,S,■テーマ: 循環 (Circulation) ■体験: ゲーム感覚で未来社会を冒険 ■Tips: 朝一番の整理券入手がおすすめ ■グルメ: 和食の宇宙食試食あり？ ■豆知識: 屋根に全国の木材を使用したサステナ建築
アメリカパビリオン,S,■テーマ: Sky Cube ■体験: 月面着陸の360°映像や隕石に触れる体験 ■Tips: 朝9時までに整理券必須の人気館 ■グルメ: BBQ料理やNYチーズケーキが楽しめる ■豆知識: アポロ計画の月の石を展示&#8203;:contentReference[oaicite:0]{index=0}
サウジアラビアパビリオン,S,■テーマ: Earth to Sky ■体験: 巨大LED砂嵐や香水調合の体験 ■Tips: 17時以降なら待ち時間30分以下に ■グルメ: 中東デーツとアラビアコーヒーでおもてなし ■豆知識: 太陽光パネルを埋め込んだ外壁が特徴
イタリアパビリオン,S,■テーマ: Art regenerates Life&#8203;:contentReference[oaicite:1]{index=1} ■体験: ルネサンス劇場ショーと3Dプリントピザ実演 ■Tips: 午後2時以降は行列が短め ■グルメ: トリュフ香る特製ピザが名物 ■豆知識: ヴェネツィアンガラスの再利用外装も見所
フランスパビリオン,S,■テーマ: Light of Creativity ■体験: 最先端アートとテクノロジーの展示 ■Tips: 午後早めに訪問すると比較的スムーズ ■グルメ: フレンチペストリーやワインバー併設 ■豆知識: エッフェル塔を模したインスタ映えスポットあり
英国パビリオン,S,■テーマ: Innovating for a Shared Future ■体験: AIが紡ぐ未来の詩や光のインスタレーション ■Tips: 夕方のライトアップ時もおすすめ ■グルメ: 紅茶やフィッシュアンドチップスが味わえるパブ併設 ■豆知識: 外壁に英国文学の一節が流れるユニークな演出
中国パビリオン,S,■テーマ: 人と自然の生命共同体 ■体験: 竹簡デザインの巨大展示で自然と共生の未来を体感 ■Tips: 午前中の比較的空いている時間帯に回るのが吉 ■グルメ: 本格中華点心が味わえる茶館併設 ■豆知識: 竹の巻物を広げたような建築は写真スポット
ドイツパビリオン,S,■テーマ: Wa! Germany（循環経済） ■体験: 7つの丸い木造ドームで巡るサステナブル旅 ■Tips: グループで分散入場でき回りやすい ■グルメ: ドイツビールとソーセージのビアガーデンが人気 ■豆知識: 再利用素材で作られた円形パビリオン
UAEパビリオン,S,■テーマ: 未来への飛翔 ■体験: 火星探査や未来都市ドバイのVR体験 ■Tips: 夜のライトアップも必見 ■グルメ: ラクダミルクのアイスクリームが味わえる ■豆知識: 砂漠の砂丘をイメージした流線型の建築
韓国パビリオン,S,■テーマ: 未来への律動 ■体験: 巨大スクリーンでK-POP映像＆最新技術ショー ■Tips: 約20分で回れる3部構成。午前中が狙い目 ■グルメ: 屋台でトッポッキやキンパも味わえる ■豆知識: 建物正面を覆うK-POP映像演出が圧巻
GUNDAM NEXT FUTURE PAVILION,S,■テーマ: 未来への進撃 ■体験: 17m実物大ガンダム像と超巨大スクリーンの没入映像 ■Tips: 整理券必須。夕方以降は比較的待ち時間短め ■グルメ: ガンダムカフェの限定ドリンクも登場 ■豆知識: 床振動まで連動した迫力演出にファン熱狂
パナソニックグループ パビリオン「ノモの国」,S,■テーマ: Unlock your nature ■体験: 子どもが主人公になれる参加型ファンタジー体験 ■Tips: ファミリー客で午前中混雑。午後がおすすめ ■グルメ: ソーラークッキングのおやつを試食できる ■豆知識: オリジナルアニメのキャラクターが各所に登場
スペインパビリオン,A,■テーマ: KUROSHIO（黒潮） ■体験: 太陽の広場と海洋シアターで地球と命の物語を体感 ■Tips: 海風演出のある涼しい午後が狙い目 ■グルメ: パエリアや生ハムを味わえるタパスバー併設 ■豆知識: 黒潮をイメージした波状デザインの建築
オーストラリアパビリオン,A,■テーマ: Chasing the Sun ■体験: 先住民アートに彩られた豪州の大地を巡る体験 ■Tips: 伝統ダンス上演時間に合わせて訪問したい ■グルメ: オージービーフステーキやワインを楽しめる ■豆知識: ユーカリの花を模した布張り屋根が目印
トルコパビリオン,A,■テーマ: 橋渡しする文明 ■体験: 古代遺跡と宇宙技術を融合したプロジェクションショー ■Tips: トルコアイスの実演販売は子どもに人気 ■グルメ: 名物ケバブやバクラヴァを味わえるカフェ併設 ■豆知識: オスマン様式のドーム天井が美しい
