display_name,level,memo
公式ブログ,B,詳細情報取得失敗
公式SNS,B,詳細情報取得失敗
Goods & Shops,B,詳細情報取得失敗
グルメ,B,詳細情報取得失敗
会場マップ,B,詳細情報取得失敗
ユニバーサル情報,B,詳細情報取得失敗
アクセス,B,詳細情報取得失敗
マイチケットログイン,B,詳細情報取得失敗
お問い合わせ,B,詳細情報取得失敗
開催概要>,B,詳細情報取得失敗
開催目的>,B,詳細情報取得失敗
基本計画>,B,詳細情報取得失敗
ステートメント>,B,詳細情報取得失敗
デジタルウォレット>,B,詳細情報取得失敗
キャッシュレス>,B,詳細情報取得失敗
テーマウィーク>,B,詳細情報取得失敗
持続可能性>,B,詳細情報取得失敗
データ利活用>,B,詳細情報取得失敗
公式キャラクター>,B,詳細情報取得失敗
マスターライセンスオフィス>,B,詳細情報取得失敗
オフィシャルオンラインストア>,B,詳細情報取得失敗
デザインシステム>,B,詳細情報取得失敗
ロゴマーク>,B,詳細情報取得失敗
オフィシャルテーマソング>,B,詳細情報取得失敗
アンバサダー>,B,詳細情報取得失敗
シニアアドバイザー>,B,詳細情報取得失敗
スペシャルサポーター>,B,詳細情報取得失敗
プロデューサー>,B,詳細情報取得失敗
海外パビリオン>,B,詳細情報取得失敗
国内パビリオン>,B,詳細情報取得失敗
シグネチャーパビリオン>,B,詳細情報取得失敗
大屋根リング>,B,詳細情報取得失敗
イベント情報>,B,詳細情報取得失敗
関連イベント>,B,詳細情報取得失敗
未来社会ショーケース>,B,詳細情報取得失敗
スタンプラリー>,B,詳細情報取得失敗
公式ブログ>,B,詳細情報取得失敗
公式SNS>,B,詳細情報取得失敗
公式アプリ情報>,B,詳細情報取得失敗
グッズ＆ショップ>,B,詳細情報取得失敗
グルメ>,B,詳細情報取得失敗
ご来場の前にご確認ください>,B,詳細情報取得失敗
会場情報>,B,詳細情報取得失敗
アクセス>,B,詳細情報取得失敗
会場マップ>,B,詳細情報取得失敗
主な施設情報>,B,詳細情報取得失敗
ユニバーサル情報>,B,詳細情報取得失敗
EXPO 2025 Visitors>,B,詳細情報取得失敗
パンフレット>,B,詳細情報取得失敗
旅行情報>,B,詳細情報取得失敗
公式観光ガイド（体験予約など）>,B,詳細情報取得失敗
チケットインフォメーション>,B,詳細情報取得失敗
紙チケット/引換券>,B,詳細情報取得失敗
お知らせ>,B,詳細情報取得失敗
プレスリリース>,B,詳細情報取得失敗
活動報告>,B,詳細情報取得失敗
ベストプラクティス>,B,詳細情報取得失敗
Co-Design-Challenge>,B,詳細情報取得失敗
TEAM EXPO 2025>,B,詳細情報取得失敗
営業参加>,B,詳細情報取得失敗
一般参加催事>,B,詳細情報取得失敗
テーマウィーク協賛>,B,詳細情報取得失敗
テーマ事業協賛>,B,詳細情報取得失敗
会場整備参加・運営参加>,B,詳細情報取得失敗
未来社会ショーケース事業出展>,B,詳細情報取得失敗
広報・プロモーション参加>,B,詳細情報取得失敗
参加特典>,B,詳細情報取得失敗
中小企業・小規模企業者向け>,B,詳細情報取得失敗
修学旅行・校外学習>,B,詳細情報取得失敗
ジュニアEXPO2025教育プログラム>,B,詳細情報取得失敗
EXPO PLL Talks>,B,詳細情報取得失敗
EXPO COMMONS>,B,詳細情報取得失敗
協会情報>,B,詳細情報取得失敗
役員一覧>,B,詳細情報取得失敗
組織図>,B,詳細情報取得失敗
定款・規程>,B,詳細情報取得失敗
業務・財務情報>,B,詳細情報取得失敗
寄付>,B,詳細情報取得失敗
会場整備・交通アクセス情報>,B,詳細情報取得失敗
協会の契約情報>,B,詳細情報取得失敗
公式参加者によるパビリオン契約情報>,B,詳細情報取得失敗
公式ブログ,B,詳細情報取得失敗
公式SNS,B,詳細情報取得失敗
Goods & Shops,B,詳細情報取得失敗
グルメ,B,詳細情報取得失敗
会場マップ,B,詳細情報取得失敗
ユニバーサル情報,B,詳細情報取得失敗
アクセス,B,詳細情報取得失敗
マイチケットログイン,B,詳細情報取得失敗
お問い合わせ,B,詳細情報取得失敗
開催概要,B,詳細情報取得失敗
開催目的,B,詳細情報取得失敗
基本計画,B,詳細情報取得失敗
ステートメント,B,詳細情報取得失敗
デジタルウォレット,B,詳細情報取得失敗
キャッシュレス,B,詳細情報取得失敗
テーマウィーク,B,詳細情報取得失敗
持続可能性,B,詳細情報取得失敗
データ利活用,B,詳細情報取得失敗
